semantic_tensor_id	source_name	source_dtype	source_shape	owning_gpu	layer_id	byte_length	status
blk.26.ffn_up_exps.weight	blk.26.ffn_up_exps.weight	mxfp4	[4096x2048x256]	4	26	1140850688	OK
blk.26.exp_probs_b	blk.26.exp_probs_b	f32	[256]	4	26	1024	OK
blk.26.ffn_gate_inp.weight	blk.26.ffn_gate_inp.weight	f32	[4096x256]	4	26	4194304	OK
blk.26.ffn_gate_shexp.weight	blk.26.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	4	26	8454144	OK
blk.26.ffn_down_shexp.weight	blk.26.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	4	26	8454144	OK
blk.26.ffn_up_shexp.weight	blk.26.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	4	26	8454144	OK
blk.26.ffn_norm.weight	blk.26.ffn_norm.weight	f32	[4096]	4	26	16384	OK
blk.26.hc_attn_base	blk.26.hc_attn_base	f32	[24]	4	26	96	OK
blk.26.hc_attn_fn	blk.26.hc_attn_fn	f32	[16384x24]	4	26	1572864	OK
blk.26.hc_attn_scale	blk.26.hc_attn_scale	f32	[3]	4	26	12	OK
blk.26.hc_ffn_base	blk.26.hc_ffn_base	f32	[24]	4	26	96	OK
blk.26.hc_ffn_fn	blk.26.hc_ffn_fn	f32	[16384x24]	4	26	1572864	OK
blk.26.hc_ffn_scale	blk.26.hc_ffn_scale	f32	[3]	4	26	12	OK
blk.27.attn_sinks	blk.27.attn_sinks	f32	[64]	4	27	256	OK
blk.27.attn_compress_ape	blk.27.attn_compress_ape	f32	[512x128]	4	27	262144	OK
blk.27.attn_compress_norm.weight	blk.27.attn_compress_norm.weight	f32	[512]	4	27	2048	OK
blk.27.attn_compress_gate.weight	blk.27.attn_compress_gate.weight	bf16	[4096x512]	4	27	4194304	OK
blk.27.attn_compress_kv.weight	blk.27.attn_compress_kv.weight	bf16	[4096x512]	4	27	4194304	OK
blk.27.attn_kv_a_norm.weight	blk.27.attn_kv_a_norm.weight	f32	[512]	4	27	2048	OK
blk.27.attn_q_a_norm.weight	blk.27.attn_q_a_norm.weight	f32	[1024]	4	27	4096	OK
blk.27.attn_kv_latent.weight	blk.27.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	4	27	2113536	OK
blk.27.attn_output_a.weight	blk.27.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	4	27	33816576	OK
blk.27.attn_output_b.weight	blk.27.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	4	27	33816576	OK
blk.27.attn_q_a.weight	blk.27.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	4	27	4227072	OK
blk.27.attn_q_b.weight	blk.27.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	4	27	33816576	OK
blk.27.attn_norm.weight	blk.27.attn_norm.weight	f32	[4096]	4	27	16384	OK
blk.27.ffn_down_exps.weight	blk.27.ffn_down_exps.weight	mxfp4	[2048x4096x256]	4	27	1140850688	OK
