name	layer	gpu	family	dims	elements	ggml_type_id	ggml_type	bytes
blk.26.attn_compress_gate.weight	26	4	compressor	[4096x1024]	4194304	30	bf16	8388608
blk.26.attn_compress_kv.weight	26	4	compressor	[4096x1024]	4194304	30	bf16	8388608
blk.26.indexer.compress_ape	26	4	indexer	[256x4]	1024	0	f32	4096
blk.26.indexer.compress_norm.weight	26	4	indexer	[128]	128	0	f32	512
blk.26.indexer.compress_gate.weight	26	4	indexer	[4096x256]	1048576	30	bf16	2097152
blk.26.indexer.compress_kv.weight	26	4	indexer	[4096x256]	1048576	30	bf16	2097152
blk.26.indexer.proj.weight	26	4	indexer	[4096x64]	262144	30	bf16	524288
blk.26.indexer.attn_q_b.weight	26	4	indexer	[1024x8192]	8388608	42	f8_e4m3_b128	8454144
blk.26.attn_kv_a_norm.weight	26	4	attention	[512]	512	0	f32	2048
blk.26.attn_q_a_norm.weight	26	4	attention	[1024]	1024	0	f32	4096
blk.26.attn_kv_latent.weight	26	4	attention	[4096x512]	2097152	42	f8_e4m3_b128	2113536
blk.26.attn_output_a.weight	26	4	attention	[4096x8192]	33554432	42	f8_e4m3_b128	33816576
blk.26.attn_output_b.weight	26	4	attention	[8192x4096]	33554432	42	f8_e4m3_b128	33816576
blk.26.attn_q_a.weight	26	4	attention	[4096x1024]	4194304	42	f8_e4m3_b128	4227072
blk.26.attn_q_b.weight	26	4	attention	[1024x32768]	33554432	42	f8_e4m3_b128	33816576
blk.26.attn_norm.weight	26	4	attention	[4096]	4096	0	f32	16384
blk.26.ffn_down_exps.weight	26	4	routed_expert	[2048x4096x256]	2147483648	39	mxfp4	1140850688
blk.26.ffn_gate_exps.weight	26	4	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.26.ffn_up_exps.weight	26	4	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.26.exp_probs_b	26	4	router	[256]	256	0	f32	1024
blk.26.ffn_gate_inp.weight	26	4	router	[4096x256]	1048576	0	f32	4194304
blk.26.ffn_gate_shexp.weight	26	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.26.ffn_down_shexp.weight	26	4	shared_expert	[2048x4096]	8388608	42	f8_e4m3_b128	8454144
blk.26.ffn_up_shexp.weight	26	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.26.ffn_norm.weight	26	4	control	[4096]	4096	0	f32	16384
blk.26.hc_attn_base	26	4	hc	[24]	24	0	f32	96
blk.26.hc_attn_fn	26	4	hc	[16384x24]	393216	0	f32	1572864
blk.26.hc_attn_scale	26	4	hc	[3]	3	0	f32	12
