timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:29:05.064, 2, 5, 20812, 11683
2026/05/23 06:29:05.065, 3, 2, 20812, 11683
2026/05/23 06:29:05.065, 4, 1, 20812, 11683
2026/05/23 06:29:05.066, 5, 0, 17470, 15025
2026/05/23 06:29:05.067, 6, 3, 17386, 15109
2026/05/23 06:29:05.067, 7, 16, 11582, 20913
2026/05/23 06:29:06.178, 0, 2, 21794, 10701
2026/05/23 06:29:06.178, 1, 3, 20812, 11683
2026/05/23 06:29:06.178, 2, 2, 20812, 11683
2026/05/23 06:29:06.179, 3, 2, 20812, 11683
2026/05/23 06:29:06.179, 4, 2, 20812, 11683
2026/05/23 06:29:06.179, 5, 0, 17470, 15025
2026/05/23 06:29:06.179, 6, 2, 17386, 15109
2026/05/23 06:29:06.179, 7, 3, 11582, 20913
2026/05/23 06:29:07.275, 0, 2, 21794, 10701
2026/05/23 06:29:07.276, 1, 3, 20812, 11683
2026/05/23 06:29:07.276, 2, 3, 20812, 11683
2026/05/23 06:29:07.277, 3, 4, 20812, 11683
2026/05/23 06:29:07.277, 4, 2, 20812, 11683
2026/05/23 06:29:07.277, 5, 0, 17470, 15025
2026/05/23 06:29:07.278, 6, 3, 17386, 15109
2026/05/23 06:29:07.278, 7, 3, 11582, 20913
2026/05/23 06:29:08.373, 0, 2, 21794, 10701
2026/05/23 06:29:08.374, 1, 3, 20812, 11683
2026/05/23 06:29:08.374, 2, 27, 20812, 11683
2026/05/23 06:29:08.375, 3, 3, 20812, 11683
2026/05/23 06:29:08.375, 4, 3, 20812, 11683
2026/05/23 06:29:08.376, 5, 0, 17470, 15025
2026/05/23 06:29:08.376, 6, 2, 17386, 15109
2026/05/23 06:29:08.376, 7, 3, 11582, 20913
2026/05/23 06:29:09.468, 0, 3, 21794, 10701
2026/05/23 06:29:09.469, 1, 3, 20812, 11683
2026/05/23 06:29:09.469, 2, 4, 20812, 11683
2026/05/23 06:29:09.469, 3, 3, 20812, 11683
2026/05/23 06:29:09.470, 4, 3, 20812, 11683
2026/05/23 06:29:09.470, 5, 0, 17470, 15025
2026/05/23 06:29:09.471, 6, 3, 17386, 15109
2026/05/23 06:29:09.471, 7, 0, 11620, 20875
2026/05/23 06:29:10.575, 0, 3, 21794, 10701
2026/05/23 06:29:10.575, 1, 3, 20812, 11683
2026/05/23 06:29:10.575, 2, 27, 20812, 11683
2026/05/23 06:29:10.575, 3, 4, 20812, 11683
2026/05/23 06:29:10.576, 4, 3, 20812, 11683
2026/05/23 06:29:10.576, 5, 0, 17470, 15025
2026/05/23 06:29:10.576, 6, 3, 17386, 15109
2026/05/23 06:29:10.576, 7, 0, 11620, 20875
2026/05/23 06:29:11.662, 0, 2, 21794, 10701
2026/05/23 06:29:11.662, 1, 3, 20812, 11683
2026/05/23 06:29:11.663, 2, 3, 20812, 11683
2026/05/23 06:29:11.663, 3, 2, 20812, 11683
2026/05/23 06:29:11.664, 4, 3, 20812, 11683
2026/05/23 06:29:11.664, 5, 0, 17470, 15025
2026/05/23 06:29:11.665, 6, 3, 17386, 15109
2026/05/23 06:29:11.665, 7, 0, 11620, 20875
2026/05/23 06:29:12.778, 0, 3, 21794, 10701
2026/05/23 06:29:12.779, 1, 3, 20812, 11683
2026/05/23 06:29:12.779, 2, 3, 20812, 11683
2026/05/23 06:29:12.780, 3, 3, 20812, 11683
2026/05/23 06:29:12.780, 4, 8, 20812, 11683
2026/05/23 06:29:12.781, 5, 0, 17470, 15025
2026/05/23 06:29:12.781, 6, 3, 17386, 15109
2026/05/23 06:29:12.781, 7, 0, 11620, 20875
2026/05/23 06:29:13.924, 0, 4, 21794, 10701
2026/05/23 06:29:13.924, 1, 3, 20812, 11683
2026/05/23 06:29:13.925, 2, 3, 20812, 11683
2026/05/23 06:29:13.925, 3, 3, 20812, 11683
2026/05/23 06:29:13.926, 4, 2, 20812, 11683
2026/05/23 06:29:13.926, 5, 0, 17470, 15025
2026/05/23 06:29:13.926, 6, 2, 17386, 15109
2026/05/23 06:29:13.927, 7, 0, 11620, 20875
2026/05/23 06:29:15.038, 0, 2, 21794, 10701
2026/05/23 06:29:15.039, 1, 3, 20812, 11683
2026/05/23 06:29:15.039, 2, 0, 20890, 11605
2026/05/23 06:29:15.039, 3, 8, 20812, 11683
2026/05/23 06:29:15.039, 4, 3, 20812, 11683
2026/05/23 06:29:15.040, 5, 0, 17470, 15025
2026/05/23 06:29:15.040, 6, 2, 17386, 15109
2026/05/23 06:29:15.040, 7, 0, 11620, 20875
2026/05/23 06:29:16.140, 0, 4, 21794, 10701
2026/05/23 06:29:16.140, 1, 4, 20812, 11683
2026/05/23 06:29:16.141, 2, 0, 20890, 11605
2026/05/23 06:29:16.141, 3, 4, 20812, 11683
2026/05/23 06:29:16.141, 4, 1, 20812, 11683
2026/05/23 06:29:16.142, 5, 0, 17470, 15025
2026/05/23 06:29:16.142, 6, 2, 17386, 15109
2026/05/23 06:29:16.143, 7, 0, 11620, 20875
2026/05/23 06:29:17.234, 0, 4, 21794, 10701
2026/05/23 06:29:17.234, 1, 17, 20812, 11683
2026/05/23 06:29:17.235, 2, 0, 20890, 11605
2026/05/23 06:29:17.235, 3, 4, 20812, 11683
2026/05/23 06:29:17.235, 4, 2, 20812, 11683
2026/05/23 06:29:17.235, 5, 0, 17470, 15025
2026/05/23 06:29:17.236, 6, 8, 17386, 15109
2026/05/23 06:29:17.236, 7, 0, 11620, 20875
2026/05/23 06:29:18.340, 0, 4, 21794, 10701
2026/05/23 06:29:18.340, 1, 4, 20812, 11683
