==106295== NVPROF is profiling process 106295, command: ./tools/ds4-v100-tp-ep-full-layer-smoke --pack-dir /workspace/packs/ds4-appliance-full-tm-gated-s181 --contract /workspace/logs/sprint245-tp-ep-dense-f16-cache-contract/contract/tp-ep-pack-contract.tsv --tm-index /workspace/packs/ds4-appliance-full-tm-gat
==106295== Profiling application: ./tools/ds4-v100-tp-ep-full-layer-smoke --pack-dir /workspace/packs/ds4-appliance-full-tm-gated-s181 --contract /workspace/logs/sprint245-tp-ep-dense-f16-cache-contract/contract/tp-ep-pack-contract.tsv --tm-index /workspace/packs/ds4-appliance-full-tm-gat
==106295== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Src Dev","Src Ctx","Dst Dev","Dst Ctx","Name","Correlation_ID"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,,,,
138.725095,0.002368,,,,,,,,,,0.000031,0.012585,"Device","Device","Tesla V100-SXM2-32GB (0)","1","10","Tesla V100-SXM2-32GB (0)","1","Tesla V100-SXM2-32GB (7)","8","[CUDA memcpy PtoP]",9015
138.725113,0.005984,256,1,1,256,1,1,32,1.500000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::attention_raw_swa_window_kernel(float*, float const *, float const *, float const *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",9016
138.728490,0.041376,,,,,,,,,,0.500000,11.801074,"Device","Pageable","Tesla V100-SXM2-32GB (7)","8","105",,,,,"[CUDA memcpy DtoH]",9057
138.729151,0.351521,35,32,1,128,1,1,94,0.000000,10.531250,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"void turbomind::gemm::gemm_kernel<turbomind::gemm::GemmUniversal<turbomind::gemm::Sm70, turbomind::gemm::MainloopSm70<turbomind::gemm::Tiled_MMA_v2<turbomind::gemm::SM70_MMA_884, turbomind::gemm::MMA_Map<int=8, int=128, int=64, int=8, int=32, int=8, turbomind::gemm::Blocked<int=1, int=4, turbomind::gemm::Order>, int=1, bool=0>, turbomind::gemm::Order>, turbomind::gemm::sm70_s884::Operand_A<__half>, turbomind::gemm::IteratorSm70<turbomind::gemm::Striding, turbomind::cache_policy::Default>, turbomind::gemm::Transform_Default, turbomind::gemm::VoidOperand, int=1, turbomind::gemm::sm70_s884::Operand_B_Pack<turbomind::fp4_e2m1_t>, turbomind::gemm::IteratorSm70<turbomind::gemm::Striding, turbomind::cache_policy::Stream>, turbomind::gemm::Transform_HMMA_SIMT_B, turbomind::gemm::sm70_s884::Operand_V_Pack<unsigned char>, int=32, int=2, bool=1>, turbomind::gemm::Epilogue_<__half, int=8, int=128, int=8, int=128, int=128, turbomind::gemm::Rearrange<turbomind::gemm::Tiled_MMA_v2<turbomind::gemm::SM70_MMA_884, turbomind::gemm::MMA_Map<int=8, int=128, int=64, int=8, int=32, int=8, turbomind::gemm::Blocked<int=1, int=4, turbomind::gemm::Order>, int=1, bool=0>, turbomind::gemm::Order>>, turbomind::gemm::sm70_s884::Operand_C<float, turbomind::gemm::Order>, turbomind::gemm::Striding, bool=1>, turbomind::gemm::SchedulerSm70<turbomind::gemm::Order, int=8, int=128, int=64, int=64, int=1, int=0>>, turbomind::gemm::GemmParam, turbomind::gemm::EpilogueParam, turbomind::gemm::SchedulerSm70<turbomind::gemm::Order, int=8, int=128, int=64, int=64, int=1, int=0>>(turbomind::gemm::SM70_MMA_884, int=8, int=128)",9087
138.729467,0.061184,8,2,13,128,1,1,96,0.000000,17.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","196",,,,,"void cutlass::Kernel<cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8>(cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8Params)",9209
138.729504,0.193024,35,32,1,128,1,1,94,0.000000,10.531250,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"void turbomind::gemm::gemm_kernel<turbomind::gemm::GemmUniversal<turbomind::gemm::Sm70, turbomind::gemm::MainloopSm70<turbomind::gemm::Tiled_MMA_v2<turbomind::gemm::SM70_MMA_884, turbomind::gemm::MMA_Map<int=8, int=128, int=64, int=8, int=32, int=8, turbomind::gemm::Blocked<int=1, int=4, turbomind::gemm::Order>, int=1, bool=0>, turbomind::gemm::Order>, turbomind::gemm::sm70_s884::Operand_A<__half>, turbomind::gemm::IteratorSm70<turbomind::gemm::Striding, turbomind::cache_policy::Default>, turbomind::gemm::Transform_Default, turbomind::gemm::VoidOperand, int=1, turbomind::gemm::sm70_s884::Operand_B_Pack<turbomind::fp4_e2m1_t>, turbomind::gemm::IteratorSm70<turbomind::gemm::Striding, turbomind::cache_policy::Stream>, turbomind::gemm::Transform_HMMA_SIMT_B, turbomind::gemm::sm70_s884::Operand_V_Pack<unsigned char>, int=32, int=2, bool=1>, turbomind::gemm::Epilogue_<__half, int=8, int=128, int=8, int=128, int=128, turbomind::gemm::Rearrange<turbomind::gemm::Tiled_MMA_v2<turbomind::gemm::SM70_MMA_884, turbomind::gemm::MMA_Map<int=8, int=128, int=64, int=8, int=32, int=8, turbomind::gemm::Blocked<int=1, int=4, turbomind::gemm::Order>, int=1, bool=0>, turbomind::gemm::Order>>, turbomind::gemm::sm70_s884::Operand_C<float, turbomind::gemm::Order>, turbomind::gemm::Striding, bool=1>, turbomind::gemm::SchedulerSm70<turbomind::gemm::Order, int=8, int=128, int=64, int=64, int=1, int=0>>, turbomind::gemm::GemmParam, turbomind::gemm::EpilogueParam, turbomind::gemm::SchedulerSm70<turbomind::gemm::Order, int=8, int=128, int=64, int=64, int=1, int=0>>(turbomind::gemm::SM70_MMA_884, int=8, int=128)",9089
138.729616,0.013184,16,2,1,32,16,1,32,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","196",,,,,"void cublasLt::splitKreduce_kernel<int=32, int=16, int, float, float, float, float, bool=1, bool=0, bool=0>(cublasLt::cublasSplitKParams<float>, float const *, float const *, float const **, cublasLt::cublasSplitKParams const *, cublasLt::cublasSplitKParams const , float const *, float const , cublasLt::cublasSplitKParams const **, void*, long, cublasLt::cublasSplitKParams*, int*)",9211
138.729666,0.020000,8,2,16,128,1,1,96,0.000000,17.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","196",,,,,"void cutlass::Kernel<cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8>(cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8Params)",9338
138.729687,0.002848,16,2,1,32,16,1,32,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","196",,,,,"void cublasLt::splitKreduce_kernel<int=32, int=16, int, float, float, float, float, bool=1, bool=0, bool=0>(cublasLt::cublasSplitKParams<float>, float const *, float const *, float const **, cublasLt::cublasSplitKParams const *, cublasLt::cublasSplitKParams const , float const *, float const , cublasLt::cublasSplitKParams const **, void*, long, cublasLt::cublasSplitKParams*, int*)",9340
138.729846,0.003072,384,1,1,256,1,1,16,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::ep_pack_route_dest_shards_kernel(float*, __half const *, float const *, int, int)",9394
