timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:30:00.083, 2, 2, 20812, 11683
2026/05/23 06:30:00.083, 3, 2, 20812, 11683
2026/05/23 06:30:00.084, 4, 2, 20812, 11683
2026/05/23 06:30:00.084, 5, 2, 17406, 15089
2026/05/23 06:30:00.084, 6, 2, 17386, 15109
2026/05/23 06:30:00.084, 7, 2, 11582, 20913
2026/05/23 06:30:01.186, 0, 2, 21794, 10701
2026/05/23 06:30:01.187, 1, 2, 20812, 11683
2026/05/23 06:30:01.187, 2, 2, 20812, 11683
2026/05/23 06:30:01.188, 3, 2, 20812, 11683
2026/05/23 06:30:01.189, 4, 2, 20812, 11683
2026/05/23 06:30:01.189, 5, 2, 17406, 15089
2026/05/23 06:30:01.190, 6, 2, 17386, 15109
2026/05/23 06:30:01.191, 7, 2, 11582, 20913
2026/05/23 06:30:02.326, 0, 2, 21794, 10701
2026/05/23 06:30:02.326, 1, 2, 20812, 11683
2026/05/23 06:30:02.327, 2, 2, 20812, 11683
2026/05/23 06:30:02.327, 3, 2, 20812, 11683
2026/05/23 06:30:02.327, 4, 2, 20812, 11683
2026/05/23 06:30:02.327, 5, 2, 17406, 15089
2026/05/23 06:30:02.328, 6, 2, 17386, 15109
2026/05/23 06:30:02.328, 7, 2, 11582, 20913
2026/05/23 06:30:03.442, 0, 2, 21794, 10701
2026/05/23 06:30:03.442, 1, 2, 20812, 11683
2026/05/23 06:30:03.443, 2, 2, 20812, 11683
2026/05/23 06:30:03.443, 3, 2, 20812, 11683
2026/05/23 06:30:03.443, 4, 2, 20812, 11683
2026/05/23 06:30:03.443, 5, 2, 17406, 15089
2026/05/23 06:30:03.443, 6, 2, 17386, 15109
2026/05/23 06:30:03.444, 7, 2, 11582, 20913
2026/05/23 06:30:04.544, 0, 2, 21794, 10701
2026/05/23 06:30:04.545, 1, 2, 20812, 11683
2026/05/23 06:30:04.545, 2, 2, 20812, 11683
2026/05/23 06:30:04.546, 3, 2, 20812, 11683
2026/05/23 06:30:04.546, 4, 2, 20812, 11683
2026/05/23 06:30:04.547, 5, 15, 17406, 15089
2026/05/23 06:30:04.547, 6, 2, 17386, 15109
2026/05/23 06:30:04.547, 7, 2, 11582, 20913
2026/05/23 06:30:05.642, 0, 2, 21794, 10701
2026/05/23 06:30:05.643, 1, 2, 20812, 11683
2026/05/23 06:30:05.643, 2, 2, 20812, 11683
2026/05/23 06:30:05.643, 3, 2, 20812, 11683
2026/05/23 06:30:05.644, 4, 2, 20812, 11683
2026/05/23 06:30:05.644, 5, 7, 17406, 15089
2026/05/23 06:30:05.644, 6, 2, 17386, 15109
2026/05/23 06:30:05.645, 7, 2, 11582, 20913
2026/05/23 06:30:06.715, 0, 2, 21794, 10701
2026/05/23 06:30:06.716, 1, 2, 20812, 11683
2026/05/23 06:30:06.716, 2, 2, 20812, 11683
2026/05/23 06:30:06.716, 3, 2, 20812, 11683
2026/05/23 06:30:06.716, 4, 2, 20812, 11683
2026/05/23 06:30:06.717, 5, 1, 17406, 15089
2026/05/23 06:30:06.717, 6, 2, 17386, 15109
2026/05/23 06:30:06.717, 7, 2, 11582, 20913
2026/05/23 06:30:07.835, 0, 2, 21794, 10701
2026/05/23 06:30:07.836, 1, 2, 20812, 11683
2026/05/23 06:30:07.836, 2, 2, 20812, 11683
