timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:28:01.870, 2, 0, 20890, 11605
2026/05/23 06:28:01.870, 3, 0, 20890, 11605
2026/05/23 06:28:01.870, 4, 0, 20890, 11605
2026/05/23 06:28:01.870, 5, 0, 17470, 15025
2026/05/23 06:28:01.871, 6, 0, 17456, 15039
2026/05/23 06:28:01.871, 7, 0, 11620, 20875
2026/05/23 06:28:02.977, 0, 3, 21794, 10701
2026/05/23 06:28:02.978, 1, 5, 20812, 11683
2026/05/23 06:28:02.978, 2, 0, 20890, 11605
2026/05/23 06:28:02.978, 3, 0, 20890, 11605
2026/05/23 06:28:02.978, 4, 0, 20890, 11605
2026/05/23 06:28:02.979, 5, 0, 17470, 15025
2026/05/23 06:28:02.979, 6, 0, 17456, 15039
2026/05/23 06:28:02.979, 7, 0, 11620, 20875
2026/05/23 06:28:04.065, 0, 4, 21794, 10701
2026/05/23 06:28:04.066, 1, 3, 20812, 11683
2026/05/23 06:28:04.066, 2, 0, 20890, 11605
2026/05/23 06:28:04.066, 3, 0, 20890, 11605
2026/05/23 06:28:04.067, 4, 0, 20890, 11605
2026/05/23 06:28:04.067, 5, 0, 17470, 15025
2026/05/23 06:28:04.067, 6, 0, 17456, 15039
2026/05/23 06:28:04.067, 7, 0, 11620, 20875
2026/05/23 06:28:05.133, 0, 4, 21794, 10701
2026/05/23 06:28:05.133, 1, 4, 20812, 11683
2026/05/23 06:28:05.134, 2, 0, 20890, 11605
2026/05/23 06:28:05.134, 3, 0, 20890, 11605
2026/05/23 06:28:05.134, 4, 0, 20890, 11605
2026/05/23 06:28:05.134, 5, 0, 17470, 15025
2026/05/23 06:28:05.134, 6, 0, 17456, 15039
2026/05/23 06:28:05.135, 7, 0, 11620, 20875
2026/05/23 06:28:06.235, 0, 4, 21794, 10701
2026/05/23 06:28:06.236, 1, 5, 20812, 11683
2026/05/23 06:28:06.236, 2, 0, 20890, 11605
2026/05/23 06:28:06.236, 3, 0, 20890, 11605
2026/05/23 06:28:06.236, 4, 0, 20890, 11605
2026/05/23 06:28:06.237, 5, 0, 17470, 15025
2026/05/23 06:28:06.237, 6, 0, 17456, 15039
2026/05/23 06:28:06.237, 7, 0, 11620, 20875
2026/05/23 06:28:07.320, 0, 4, 21794, 10701
2026/05/23 06:28:07.320, 1, 4, 20812, 11683
2026/05/23 06:28:07.320, 2, 0, 20890, 11605
2026/05/23 06:28:07.321, 3, 0, 20890, 11605
2026/05/23 06:28:07.321, 4, 0, 20890, 11605
2026/05/23 06:28:07.321, 5, 0, 17470, 15025
2026/05/23 06:28:07.321, 6, 0, 17456, 15039
2026/05/23 06:28:07.322, 7, 0, 11620, 20875
2026/05/23 06:28:08.409, 0, 9, 21794, 10701
2026/05/23 06:28:08.409, 1, 5, 20812, 11683
2026/05/23 06:28:08.409, 2, 0, 20890, 11605
2026/05/23 06:28:08.410, 3, 0, 20890, 11605
2026/05/23 06:28:08.410, 4, 0, 20890, 11605
2026/05/23 06:28:08.410, 5, 0, 17470, 15025
2026/05/23 06:28:08.410, 6, 0, 17456, 15039
2026/05/23 06:28:08.411, 7, 0, 11620, 20875
