== NVLink adjacency (per GPU) ==
GPU0: 1(NV1), 2(NV1), 3(NV2), 4(NV2)
GPU1: 0(NV1), 2(NV2), 3(NV1), 5(NV2)
GPU2: 0(NV1), 1(NV2), 3(NV2), 6(NV1)
GPU3: 0(NV2), 1(NV1), 2(NV2), 7(NV1)
GPU4: 0(NV2), 5(NV1), 6(NV1), 7(NV2)
GPU5: 1(NV2), 4(NV1), 6(NV2), 7(NV1)
GPU6: 2(NV1), 4(NV1), 5(NV2), 7(NV2)
GPU7: 3(NV1), 4(NV2), 5(NV1), 6(NV2)

== Non-NVLink undirected pairs (12 of 28) ==
(0,5) [SYS]: one-hop NVLink relays via 1(NV1+NV2), 4(NV2+NV1)
(0,6) [SYS]: one-hop NVLink relays via 2(NV1+NV1), 4(NV2+NV1)
(0,7) [SYS]: one-hop NVLink relays via 3(NV2+NV1), 4(NV2+NV2)
(1,4) [SYS]: one-hop NVLink relays via 0(NV1+NV2), 5(NV2+NV1)
(1,6) [SYS]: one-hop NVLink relays via 2(NV2+NV1), 5(NV2+NV2)
(1,7) [SYS]: one-hop NVLink relays via 3(NV1+NV1), 5(NV2+NV1)
(2,4) [SYS]: one-hop NVLink relays via 0(NV1+NV2), 6(NV1+NV1)
(2,5) [SYS]: one-hop NVLink relays via 1(NV2+NV2), 6(NV1+NV2)
(2,7) [SYS]: one-hop NVLink relays via 3(NV2+NV1), 6(NV1+NV2)
(3,4) [SYS]: one-hop NVLink relays via 0(NV2+NV2), 7(NV1+NV2)
(3,5) [SYS]: one-hop NVLink relays via 1(NV1+NV2), 7(NV1+NV1)
(3,6) [SYS]: one-hop NVLink relays via 2(NV2+NV1), 7(NV1+NV2)

== Per-pair microbench (dst-side UVA remote load) ==

-- payload 8 KiB --
dst	src	class	burst_us	burst_GBps	iso_us	iso_GBps
6	4	NV1	22.07	17.82	24.84	15.83
6	5	NV2	13.53	29.06	16.31	24.11
6	6	self	2.79	140.83	5.54	70.93
6	7	NV2	13.52	29.08	16.30	24.12
7	0	SYS	47.73	8.24	50.52	7.78
7	1	SYS	47.81	8.22	50.65	7.76
7	2	SYS	48.80	8.06	51.42	7.65
7	3	NV1	22.16	17.74	24.94	15.77
7	4	NV2	13.64	28.83	16.42	23.95
7	5	NV1	22.14	17.76	24.95	15.76
7	6	NV2	13.64	28.84	16.40	23.98
7	7	self	2.85	137.72	5.80	67.84
class summary (burst): NV1: n=16 us[22.00-22.25] GBps[17.68-17.87]; NV2: n=16 us[13.40-13.68] GBps[28.74-29.33]; SYS: n=24 us[45.65-48.94] GBps[8.03-8.61]; self: n=8 us[2.75-2.87] GBps[136.90-142.91]

-- payload 512 KiB --
dst	src	class	burst_us	burst_GBps	iso_us	iso_GBps
0	0	self	3.02	173.74	5.69	92.15
0	1	NV1	27.73	18.91	30.48	17.20
0	2	NV1	27.74	18.90	30.45	17.22
0	3	NV2	16.43	31.91	19.22	27.28
0	4	NV2	16.43	31.91	18.99	27.61
0	5	SYS	59.78	8.77	62.28	8.42
0	6	SYS	59.82	8.76	62.95	8.33
0	7	SYS	59.95	8.74	62.70	8.36
1	0	NV1	27.86	18.82	30.42	17.24
1	1	self	3.06	171.25	5.71	91.86
1	2	NV2	16.36	32.05	19.04	27.54
1	3	NV1	27.85	18.83	30.44	17.22
1	4	SYS	59.61	8.79	62.47	8.39
1	5	NV2	16.36	32.05	19.08	27.48
1	6	SYS	59.99	8.74	62.64	8.37
1	7	SYS	59.96	8.74	62.46	8.39
2	0	NV1	27.70	18.92	30.42	17.23
2	1	NV2	16.31	32.14	19.03	27.56
2	2	self	3.01	174.14	5.67	92.54
